iter	Passed	Remaining
0	51	51158
1	51	25898
2	52	17481
3	53	13271
4	54	10747
5	54	9061
6	55	7869
7	56	6978
8	57	6297
9	57	5740
10	58	5286
11	59	4910
12	60	4587
13	61	4308
14	61	4069
15	62	3853
16	63	3665
17	64	3499
18	64	3350
19	65	3216
20	66	3096
21	67	2984
22	67	2881
23	68	2785
24	69	2698
25	69	2618
26	70	2545
27	71	2478
28	72	2414
29	72	2353
30	73	2296
31	74	2242
32	74	2192
33	75	2144
34	76	2100
35	76	2057
36	77	2017
37	78	1980
38	78	1942
39	79	1909
40	80	1877
41	80	1846
42	81	1818
43	82	1791
44	83	1763
45	83	1737
46	84	1712
47	85	1688
48	85	1665
49	86	1643
50	87	1621
51	87	1601
52	88	1582
53	89	1563
54	89	1544
55	90	1527
56	91	1510
57	91	1493
58	92	1477
59	93	1461
60	94	1448
61	94	1434
62	95	1421
63	96	1409
64	97	1398
65	97	1385
66	98	1373
67	98	1356
68	99	1344
69	100	1331
70	100	1319
71	101	1307
72	102	1296
73	102	1285
74	103	1274
75	103	1264
76	104	1253
77	105	1243
78	105	1233
79	106	1224
80	107	1215
81	107	1205
82	108	1197
83	109	1188
84	109	1178
85	110	1170
86	110	1160
87	111	1153
88	112	1146
89	112	1139
90	113	1132
91	113	1124
92	114	1117
93	115	1111
94	115	1104
95	116	1097
96	117	1091
97	117	1085
98	118	1078
99	119	1072
100	119	1066
101	120	1058
102	120	1053
103	121	1047
104	122	1041
105	122	1036
106	123	1031
107	124	1026
108	124	1021
109	125	1015
110	126	1010
111	126	1005
112	127	1001
113	128	996
114	128	991
115	129	985
116	129	981
117	130	976
118	131	971
119	131	967
120	132	963
121	133	960
122	133	954
123	134	950
124	135	946
125	135	943
126	136	940
127	137	935
128	137	931
129	138	928
130	139	925
131	140	922
132	141	919
133	141	916
134	142	912
135	143	909
136	143	906
137	144	902
138	145	900
139	146	897
140	146	895
141	147	892
142	148	889
143	149	886
144	149	883
145	150	881
146	151	878
147	152	876
148	152	873
149	153	870
150	154	868
151	155	865
152	155	862
153	156	860
154	157	857
155	158	855
156	158	852
157	159	849
158	160	847
159	160	845
160	161	843
161	162	840
162	163	838
163	163	835
164	164	833
165	165	831
166	166	828
167	166	826
168	167	823
169	168	821
170	168	818
171	169	816
172	170	814
173	170	811
174	171	809
175	172	807
176	173	804
177	173	802
178	174	800
179	175	798
180	175	794
181	176	791
182	176	788
183	177	786
184	177	783
185	178	781
186	179	778
187	179	776
188	180	773
189	181	771
190	181	769
191	182	767
192	183	765
193	183	763
194	184	760
195	184	758
196	185	756
197	186	754
198	186	752
199	187	749
200	188	747
201	188	745
202	189	743
203	190	742
204	190	740
205	191	738
206	192	736
207	193	735
208	193	733
209	194	732
210	195	730
211	196	728
212	196	726
213	197	725
214	198	722
215	198	720
216	199	719
217	200	717
218	200	715
219	201	713
220	202	712
221	202	710
222	203	708
223	204	706
224	204	705
225	205	703
226	206	701
227	206	700
228	207	698
229	208	697
230	208	695
231	209	693
232	210	692
233	210	690
234	211	688
235	212	686
236	212	684
237	213	683
238	214	681
239	214	679
240	215	678
241	216	676
242	216	675
243	217	673
244	218	671
245	218	670
246	219	668
247	219	666
248	220	665
249	221	664
250	222	662
251	222	661
252	223	659
253	223	657
254	224	656
255	225	654
256	226	653
257	226	651
258	227	650
259	228	649
260	228	647
261	229	645
262	230	644
263	230	643
264	231	641
265	232	640
266	232	638
267	233	637
268	234	635
269	234	634
270	235	633
271	236	631
272	236	630
273	237	629
274	238	627
275	238	626
276	239	624
277	240	623
278	240	622
279	241	620
280	242	619
281	242	618
282	243	616
283	244	615
284	244	614
285	245	612
286	246	611
287	246	610
288	247	608
289	248	607
290	248	606
291	249	604
292	250	603
293	250	602
294	251	601
295	252	599
296	252	598
297	253	596
298	254	595
299	254	594
300	255	592
301	255	591
302	256	590
303	257	589
304	258	588
305	258	586
306	259	585
307	260	584
308	260	583
309	261	581
310	262	580
311	262	579
312	263	578
313	264	576
314	264	575
315	265	574
316	266	573
317	266	571
318	267	570
319	267	569
320	268	568
321	269	566
322	269	565
323	270	564
324	270	562
325	271	561
326	272	560
327	272	559
328	273	558
329	274	556
330	274	555
331	275	554
332	276	553
333	277	552
334	277	551
335	278	550
336	279	549
337	279	547
338	280	546
339	280	545
340	281	544
341	282	542
342	282	541
343	283	540
344	283	538
345	284	537
346	285	536
347	285	535
348	286	534
349	287	533
350	287	531
351	288	530
352	288	529
353	289	528
354	289	526
355	290	525
356	291	524
357	291	523
358	292	521
359	292	520
360	293	519
361	294	518
362	294	517
363	295	516
364	296	514
365	296	513
366	297	512
367	297	511
368	298	510
369	299	509
370	300	508
371	300	507
372	301	506
373	301	505
374	302	504
375	303	503
376	304	502
377	304	501
378	305	500
379	306	499
380	306	498
381	307	497
382	308	496
383	308	495
384	309	494
385	309	493
386	310	491
387	311	490
388	311	489
389	312	488
390	313	487
391	313	486
392	314	485
393	315	484
394	315	483
395	316	482
396	317	481
397	317	480
398	318	479
399	318	478
400	319	477
401	320	476
402	320	474
403	321	473
404	321	472
405	322	471
406	323	470
407	323	469
408	324	468
409	324	467
410	325	466
411	326	465
412	326	464
413	327	463
414	327	462
415	328	461
416	329	460
417	329	459
418	330	458
419	331	457
420	331	456
421	332	455
422	332	454
423	333	452
424	334	451
425	334	450
426	335	449
427	335	448
428	336	447
429	337	446
430	337	445
431	338	444
432	338	443
433	339	442
434	340	441
435	340	441
436	341	440
437	342	439
438	342	438
439	343	437
440	344	436
441	344	435
442	345	434
443	346	433
444	347	432
445	347	432
446	348	431
447	349	430
448	350	429
449	350	428
450	351	427
451	352	426
452	352	425
453	353	424
454	353	423
455	354	423
456	355	422
457	356	421
458	356	420
459	357	419
460	358	418
461	358	417
462	359	417
463	360	416
464	361	415
465	361	414
466	362	413
467	363	412
468	363	411
469	364	410
470	364	409
471	365	408
472	366	407
473	366	407
474	367	406
475	368	405
476	368	404
477	369	403
478	370	402
479	371	401
480	371	401
481	372	400
482	373	399
483	373	398
484	374	397
485	375	396
486	375	395
487	376	394
488	376	393
489	377	393
490	378	392
491	378	391
492	379	390
493	380	389
494	380	388
495	381	387
496	382	386
497	383	386
498	383	385
499	384	384
500	385	383
501	385	382
502	386	381
503	386	380
504	387	380
505	388	379
506	388	378
507	389	377
508	390	376
509	391	375
510	391	374
511	392	374
512	393	373
513	393	372
514	394	371
515	395	370
516	395	369
517	396	369
518	397	368
519	398	367
520	398	366
521	399	365
522	400	365
523	401	364
524	401	363
525	402	362
526	403	361
527	403	361
528	404	360
529	405	359
530	406	358
531	407	358
532	407	357
533	408	356
534	409	355
535	410	355
536	410	354
537	411	353
538	412	352
539	413	351
540	413	351
541	414	350
542	415	349
543	416	348
544	416	347
545	417	347
546	418	346
547	418	345
548	419	344
549	420	343
550	420	342
551	421	342
552	422	341
553	422	340
554	423	339
555	424	338
556	424	337
557	425	337
558	426	336
559	426	335
560	427	334
561	428	333
562	428	332
563	429	332
564	430	331
565	430	330
566	431	329
567	432	328
568	432	327
569	433	327
570	434	326
571	435	325
572	435	324
573	436	323
574	437	323
575	437	322
576	438	321
577	439	320
578	439	319
579	440	318
580	441	318
581	441	317
582	442	316
583	443	315
584	444	315
585	445	314
586	445	313
587	446	312
588	447	312
589	447	311
590	448	310
591	449	309
592	450	308
593	450	308
594	451	307
595	452	306
596	453	305
597	453	305
598	454	304
599	455	303
600	456	302
601	456	302
602	457	301
603	458	300
604	459	299
605	460	299
606	461	298
607	461	297
608	462	296
609	463	296
610	463	295
611	464	294
612	465	293
613	465	292
614	466	292
615	467	291
616	467	290
617	468	289
618	469	288
619	469	288
620	470	287
621	471	286
622	471	285
623	472	284
624	473	283
625	473	283
626	474	282
627	474	281
628	475	280
629	476	279
630	476	278
631	477	278
632	478	277
633	478	276
634	479	275
635	480	274
636	480	273
637	481	273
638	482	272
639	482	271
640	483	270
641	483	269
642	484	269
643	485	268
644	485	267
645	486	266
646	487	265
647	488	265
648	488	264
649	489	263
650	490	262
651	490	261
652	491	261
653	492	260
654	493	259
655	493	258
656	494	258
657	495	257
658	495	256
659	496	255
660	497	255
661	497	254
662	498	253
663	499	252
664	499	251
665	500	251
666	501	250
667	502	249
668	502	248
669	503	247
670	504	247
671	504	246
672	505	245
673	506	244
674	506	244
675	507	243
676	508	242
677	508	241
678	509	240
679	510	240
680	511	239
681	511	238
682	512	237
683	513	237
684	513	236
685	514	235
686	515	234
687	515	233
688	516	233
689	517	232
690	518	231
691	518	230
692	519	230
693	520	229
694	521	228
695	521	227
696	522	227
697	523	226
698	523	225
699	524	224
700	525	224
701	526	223
702	526	222
703	527	221
704	528	221
705	528	220
706	529	219
707	530	218
708	531	218
709	532	217
710	532	216
711	533	215
712	534	215
