iter	Passed	Remaining
0	106	106230
1	108	54022
2	109	36507
3	111	27752
4	112	22417
5	114	18918
6	117	16603
7	118	14712
8	119	13210
9	121	12012
10	122	11044
11	124	10242
12	126	9578
13	127	8969
14	128	8437
15	129	7972
16	130	7564
17	131	7191
18	132	6859
19	134	6567
20	135	6304
21	136	6063
22	137	5851
23	138	5642
24	139	5454
25	140	5281
26	142	5127
27	143	4972
28	144	4826
29	145	4693
30	146	4568
31	147	4449
32	147	4335
33	148	4227
34	149	4125
35	150	4028
36	151	3942
37	152	3855
38	153	3777
39	154	3702
40	155	3630
41	156	3559
42	156	3490
43	157	3425
44	158	3367
45	159	3308
46	160	3251
47	161	3198
48	162	3144
49	162	3095
50	163	3050
51	165	3014
52	166	2973
53	167	2930
54	168	2890
55	169	2856
56	170	2817
57	171	2782
58	172	2747
59	173	2711
60	174	2680
61	174	2647
62	176	2617
63	177	2590
64	178	2563
65	179	2534
66	180	2509
67	181	2490
68	182	2464
69	183	2440
70	184	2415
71	185	2390
72	186	2366
73	187	2342
74	188	2320
75	189	2298
76	190	2278
77	190	2257
78	193	2252
79	194	2232
80	194	2211
81	195	2191
82	196	2166
83	196	2147
84	197	2128
85	198	2114
86	199	2096
87	200	2079
88	201	2062
89	202	2046
90	203	2030
91	204	2014
92	205	2001
93	206	1989
94	207	1977
95	208	1964
96	209	1951
97	210	1938
98	211	1923
99	212	1910
100	213	1896
101	213	1883
102	214	1871
103	215	1858
104	216	1845
105	217	1832
106	218	1820
107	219	1810
108	220	1802
109	221	1793
110	222	1782
111	223	1771
112	224	1761
113	225	1751
114	226	1740
115	227	1730
116	227	1718
117	228	1709
118	229	1700
119	230	1691
120	231	1681
121	232	1670
122	233	1661
123	234	1654
124	235	1647
125	236	1639
126	237	1631
127	238	1623
128	239	1614
129	239	1605
130	241	1604
131	242	1597
132	248	1618
133	272	1760
134	284	1821
135	302	1920
136	309	1949
137	317	1984
138	319	1977
139	320	1969
140	321	1960
141	322	1949
142	324	1942
143	325	1933
144	326	1924
145	327	1914
146	329	1909
147	331	1906
148	332	1898
149	333	1888
150	334	1879
151	335	1869
152	335	1859
153	336	1850
154	337	1842
155	339	1834
156	340	1825
157	340	1816
158	341	1808
159	342	1799
160	343	1788
161	344	1782
162	345	1775
163	346	1768
164	347	1760
165	348	1752
166	349	1743
167	350	1735
168	351	1727
169	352	1719
170	352	1711
171	353	1703
172	354	1696
173	355	1688
174	356	1680
175	357	1672
176	358	1665
177	359	1658
178	360	1651
179	360	1643
180	361	1636
181	362	1629
182	363	1622
183	364	1614
184	364	1607
185	365	1600
186	366	1593
187	367	1586
188	368	1580
189	369	1573
190	370	1567
191	370	1561
192	371	1554
193	372	1548
194	373	1543
195	374	1537
196	375	1531
197	376	1525
198	377	1519
199	378	1513
200	379	1507
201	379	1501
202	380	1494
203	381	1488
204	382	1482
205	383	1476
206	383	1470
207	384	1464
208	385	1459
209	386	1454
210	387	1449
211	388	1443
212	389	1438
213	390	1432
214	390	1427
215	391	1421
216	392	1416
217	393	1410
218	394	1405
219	394	1400
220	395	1395
221	396	1390
222	397	1384
223	398	1380
224	399	1375
225	400	1371
226	401	1367
227	402	1363
228	403	1359
229	404	1354
230	405	1350
231	406	1345
232	407	1340
233	408	1335
234	408	1331
235	409	1326
236	410	1321
237	411	1316
238	412	1312
239	412	1307
240	413	1303
241	414	1299
242	415	1294
243	416	1290
244	417	1285
245	417	1281
246	418	1276
247	419	1272
248	420	1268
249	421	1264
250	422	1260
251	423	1256
252	424	1251
253	424	1247
254	425	1243
255	426	1239
256	427	1234
257	428	1232
258	429	1229
259	430	1225
260	431	1222
261	432	1218
262	433	1214
263	434	1211
264	435	1208
265	436	1204
266	437	1200
267	438	1196
268	439	1193
269	440	1189
270	440	1185
271	441	1182
272	442	1179
273	443	1175
274	444	1172
275	445	1169
276	446	1165
277	447	1163
278	459	1187
279	471	1211
280	479	1227
281	483	1231
282	504	1278
283	526	1326
284	537	1347
285	539	1347
286	541	1345
287	549	1358
288	551	1355
289	552	1353
290	554	1349
291	556	1348
292	557	1344
293	558	1340
294	559	1338
295	560	1333
296	564	1335
297	565	1331
298	566	1328
299	567	1324
300	568	1320
301	569	1316
302	570	1312
303	572	1309
304	573	1306
305	574	1302
306	575	1299
307	576	1295
308	577	1292
309	578	1288
310	579	1284
311	580	1280
312	581	1276
313	582	1272
314	583	1268
315	584	1264
316	585	1260
317	585	1256
318	586	1253
319	587	1248
320	588	1244
321	589	1240
322	590	1236
323	590	1233
324	592	1229
325	592	1225
326	593	1222
327	594	1218
328	595	1214
329	596	1210
330	597	1206
331	597	1202
332	598	1198
333	599	1195
334	600	1191
335	601	1187
336	601	1183
337	602	1180
338	603	1176
339	604	1172
340	605	1169
341	606	1166
342	607	1163
343	608	1160
344	609	1156
345	610	1153
346	611	1149
347	611	1146
348	612	1143
349	613	1139
350	614	1136
351	615	1132
352	616	1129
353	617	1126
354	617	1122
355	618	1119
356	619	1116
357	620	1112
358	621	1109
359	622	1106
360	623	1103
361	624	1099
362	624	1096
363	625	1093
364	626	1089
365	627	1086
366	627	1083
367	628	1079
368	629	1076
369	630	1073
370	631	1070
371	632	1067
372	632	1064
373	633	1061
374	634	1058
375	635	1055
376	636	1051
377	637	1048
378	638	1045
379	639	1042
380	639	1039
381	640	1036
382	641	1033
383	642	1030
384	643	1027
385	643	1024
386	644	1021
387	645	1018
388	646	1015
389	647	1012
390	648	1009
391	649	1007
392	650	1004
393	651	1001
394	652	998
395	653	996
396	653	993
397	654	990
398	655	987
399	656	984
400	657	981
401	657	978
402	658	975
403	659	972
404	660	969
405	661	967
406	662	964
407	663	962
408	663	959
409	664	956
410	665	954
411	666	951
412	667	949
413	668	946
414	669	944
415	670	941
416	671	938
417	672	936
418	673	933
419	673	930
420	674	928
421	675	925
422	676	923
423	677	920
424	678	918
425	679	915
426	683	916
427	696	931
428	717	954
429	731	969
430	748	988
431	778	1024
432	781	1022
433	782	1020
434	784	1018
435	785	1016
436	786	1013
437	787	1010
438	788	1007
439	789	1004
440	791	1002
441	792	1000
442	793	997
443	794	994
444	794	991
445	796	989
446	798	987
447	799	985
448	800	982
449	801	979
450	802	976
451	803	974
452	804	971
453	805	968
454	806	965
455	807	963
456	808	960
457	809	957
458	810	955
459	812	953
460	813	950
461	814	948
462	815	945
463	816	942
464	816	939
465	817	937
466	818	934
467	819	931
468	820	929
469	821	926
470	822	923
471	823	920
472	823	917
473	824	915
474	825	912
475	826	909
476	827	907
477	828	904
478	829	901
479	829	899
480	830	896
481	831	893
482	832	891
483	833	888
484	834	886
485	835	883
486	836	880
487	837	878
488	838	875
489	839	873
490	840	870
491	841	868
492	842	865
493	843	863
494	843	860
495	844	858
496	845	855
497	846	853
498	847	850
499	848	848
500	849	846
501	850	843
502	851	841
503	852	838
504	853	836
505	854	833
506	855	831
507	855	828
508	856	826
509	857	824
510	858	821
511	859	819
512	860	816
513	861	814
514	861	811
515	862	809
516	863	806
517	864	804
518	865	802
519	866	799
520	867	797
521	868	795
522	869	792
523	870	790
524	871	788
525	872	785
526	872	783
527	873	780
528	874	778
529	875	776
530	876	773
531	876	771
532	877	768
533	878	766
534	879	764
535	879	761
536	880	759
537	881	757
538	882	754
539	883	752
540	884	750
541	885	748
542	886	745
543	886	743
544	887	741
545	888	738
546	889	736
547	890	734
548	890	731
549	891	729
550	892	727
551	893	725
552	894	723
553	895	721
554	896	719
555	897	716
556	898	714
557	899	712
558	900	710
559	900	707
560	901	705
561	902	703
562	903	701
563	904	699
564	905	696
565	905	694
566	906	692
567	907	690
568	908	688
569	909	686
570	910	683
571	911	681
572	912	679
573	913	677
574	914	675
575	915	673
576	916	671
577	919	671
578	962	699
579	1013	733
580	1015	732
581	1018	731
582	1021	730
583	1022	728
584	1024	726
585	1025	724
586	1026	721
587	1026	719
588	1027	717
589	1028	714
590	1029	712
591	1030	710
592	1031	708
593	1032	705
594	1033	703
595	1035	701
596	1036	699
597	1037	697
598	1038	695
599	1039	692
600	1040	690
601	1041	688
602	1042	686
603	1043	684
604	1044	681
605	1045	679
606	1045	677
607	1046	674
608	1047	672
609	1048	670
610	1049	667
611	1050	665
612	1051	663
613	1051	661
614	1052	659
615	1053	656
616	1054	654
617	1055	652
618	1056	650
619	1057	648
620	1058	645
621	1059	643
622	1060	641
623	1061	639
624	1061	637
625	1062	634
626	1063	632
627	1064	630
628	1065	628
629	1066	626
630	1067	624
631	1068	622
632	1069	619
633	1070	617
634	1070	615
635	1071	613
636	1072	611
637	1073	608
638	1074	606
639	1074	604
640	1075	602
641	1076	600
642	1077	598
643	1078	596
644	1079	594
645	1080	592
646	1081	590
647	1082	587
648	1083	585
649	1083	583
650	1084	581
651	1085	579
652	1086	577
653	1087	575
654	1088	573
655	1089	571
656	1090	569
657	1091	567
658	1092	565
659	1093	563
660	1094	561
661	1095	559
662	1096	557
663	1096	555
664	1097	552
665	1098	550
666	1099	548
667	1100	546
668	1101	544
669	1102	542
670	1102	540
671	1103	538
672	1104	536
673	1105	534
674	1106	532
675	1107	530
676	1108	528
677	1109	526
678	1110	524
679	1111	523
680	1112	521
681	1113	519
682	1114	517
683	1115	515
684	1116	513
685	1117	511
686	1118	509
687	1119	507
688	1120	505
689	1121	503
690	1122	501
691	1123	499
692	1124	498
693	1125	496
694	1126	494
695	1127	492
696	1128	490
697	1129	488
698	1129	486
699	1130	484
700	1131	482
701	1133	481
702	1134	479
703	1135	477
704	1136	475
705	1138	473
706	1139	472
707	1140	470
708	1141	468
709	1142	466
710	1143	464
711	1143	462
712	1144	460
713	1145	458
714	1146	457
715	1148	455
716	1149	453
717	1150	451
718	1151	449
719	1153	448
720	1161	449
721	1219	469
722	1222	468
723	1224	466
724	1225	464
725	1226	462
726	1227	461
